productId,itemId,description,department,deptDescription,categorySubCode,categorySubDescription,category,manufacturer,subSegmentDescription,subSegmentId,segmentDescription,segmentId,subCategoryDescription,subCategoryId,majorDepartmentDescription,majorDepartmentId,container,size,uom,active,privateLabelFlag,consumption,package,flavor,brand,brandType,height,width,depth,shapeId,family,trademark,country,color,alternateHeight,alternateWeight,alternateDepth,containerDescription,distributor,industryType,dateCreatedBQ
"","18668200016","RJ Rockers Bell Ringer Ale 1 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","1.0","12.0","OZ","","","","","","RJ Rockers Bell Ringer Ale","","","","","","","","","","","","","","","","1517236534000"
"","18668200017","RJ Rockers Bell Ringer Ale 6 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","RJ Rockers Bell Ringer Ale","","","","","","","","","","","","","","","","1517236534000"
"","18668200022","RJ Rockers Seasonal 1 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","1.0","12.0","OZ","","","","","","RJ Rockers Seasonal","","","","","","","","","","","","","","","","1517236534000"
"","18668200023","RJ Rockers Son of a Peach 6 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","RJ Rockers Son of a Peach","","","","","","","","","","","","","","","","1517236534000"
"","18668200042","RJ Rockers Witty Twister 6 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","RJ Rockers Witty Twister","","","","","","","","","","","","","","","","1517236534000"
"","18797200021","Blackstone Nut Brown Ale 6 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Blackstone Nut Brown Ale","","","","","","","","","","","","","","","","1517236534000"
"","18797200026","Blackstone Hangtime Pale Ale 6 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Blackstone Hangtime Pale Ale","","","","","","","","","","","","","","","","1517236534000"
"","18797200036","Blackstone Seasonal 6 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Blackstone Seasonal","","","","","","","","","","","","","","","","1517236534000"
"","18797200041","Blackstone Hop Jack IPA 6 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Blackstone Hop Jack IPA","","","","","","","","","","","","","","","","1521330665000"
"","18797200056","Blackstone Adam Bomb 6 Pack 12 Ounce Bottle","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Blackstone Adam Bomb","","","","","","","","","","","","","","","","1521330665000"
"","1881200001","Sea Foam Motor Treatment 16 Ounce Bottle","","","24-05-00","Other Additives","Automotive Products","Sea Foam","","","","","","","","","1.0","16.0","OZ","","","","","","Sea Foam","","","","","","","","","","","","","","","","1521330665000"
"","1900008342","Lifesavers 5 Flavor 7 Ounce Bag","","","08-04-00","Non-chocolate Bars/Packs","Candy","Mars, Inc.","","","","","","","","","","7.0","OZ","","","","","","Lifesavers","","","","","","","","","","","","","","","","1517236534000"
"","1900008344","GummiSavers Mixed Berry Candy 7 Ounce Bag","","","08-02-00","Candy Rolls, Mints, Drops","Candy","Mars, Inc.","","","","","","","","","1.0","7.0","OZ","","","","","","GummiSavers","","","","","","","","","","","","","","","","1522712061000"
"","1900008504","LifeSavers Mints Wint O Green 6.25 Ounce Bag","","","08-02-00","Candy Rolls, Mints, Drops","Candy","Mars, Inc.","","","","","","","","","1.0","6.25","OZ","","","","","","Lifesavers","","","","","","","","","","","","","","","","1525012534000"
"","1996214414","Resurgence IPA 6 Pack 12 Ounce Can","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Resurgence IPA","","","","","","","","","","","","","","","","1517236534000"
"","1996214424","Resurgence Blood Orange Saison 6 Pack 12 Ounce Can","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Resurgence Blood Orange Saison","","","","","","","","","","","","","","","","1517236534000"
